290827,"CARE LABEL, 24 CM X 6 CM",SIDE SEAM,#,#,#,ALLCtr|ALLColor|ALLSize,1,Pc,,,,,,,20,,,,,,,,,,Y
290828,"LABEL, 5 CM X 2 CM",MANUFACTURER PLACE/DATE LABEL,#,#,#,ALLCtr|ALLColor|ALLSize,1,Pc,,,,,,,20,,,,,,,,,,Y
290832,"LABEL, 5 CM X 2 CM",LOT NUMBER LABEL,#,#,#,ALLCtr|ALLColor|ALLSize,1,Pc,,,,,,,20,,,,,,,,,,Y
290833,"LABEL, 3 CM X 2,5 CM",NFPA TEXT,#,#,#,ALLCtr|ALLColor|ALLSize,1,Pc,,,,,,,20,,,,,,,,,,Y
291592,"LABEL, 2 CM X 2 CM",SIZE 34 S & COUNTRY OF ORIGIN,#,#,1134,ALLCtr|ALLColor|34 ST,1,Pc,,,,,,,20,,,,,,,,,,Y
291593,"LABEL, 2 CM X 2 CM",SIZE 36 S & COUNTRY OF ORIGIN,#,#,1136,ALLCtr|ALLColor|36 ST,1,Pc,,,,,,,20,,,,,,,,,,Y
291594,"LABEL, 2 CM X 2 CM",SIZE 38 S & COUNTRY OF ORIGIN,#,#,1138,ALLCtr|ALLColor|38 ST,1,Pc,,,,,,,20,,,,,,,,,,Y
291595,"LABEL, 2 CM X 2 CM",SIZE 40 S & COUNTRY OF ORIGIN,#,#,1162,ALLCtr|ALLColor|40 ST,1,Pc,,,,,,,0,,,,,,,,,,Y
291596,"LABEL, 2 CM X 2 CM",SIZE 42 S & COUNTRY OF ORIGIN,#,#,1163,ALLCtr|ALLColor|42 ST,1,Pc,,,,,,,0,,,,,,,,,,Y
290831,"HANG TAG, RWHTFR1",0,#,#,#,ALLCtr|ALLColor|ALLSize,1,Pc,,,,,,,50,,,,,,,,,,Y
290834,"BOOK TAG, 4"" X 6""",USER GUIDE,#,#,#,ALLCtr|ALLColor|ALLSize,1,Pc,,,,,,,50,,,,,,,,,,Y
290946,TAGPIN,7CM,#,#,#,ALLCtr|ALLColor|ALLSize,1,Pc,,,,,,,50,,,,,,,,,,Y
290836,"LABEL,HEAT INDICATOR DISK",M01ELCK065D01R1,#,#,#,ALLCtr|ALLColor|ALLSize,1,Pc,,,,,,,20,,,,,,,,,,Y
290837,"HEAT SEAL LABEL,FG TM-4 SYMBOL",LP157.3503,#,#,#,ALLCtr|ALLColor|ALLSize,1,Pc,,,,,,,20,,,,,,,,,,Y
290838,PRINTED POLYBAG,40 CM X 48 CM,#,#,#,ALLCtr|ALLColor|ALLSize,1,Pc,,,,,,,50,,,,,,,,,,Y
291602,"POLYBAG STICKER,88 MM x 88 MM",SIZE 34 ST,#,#,1134,ALLCtr|ALLColor|34 ST,1,Pc,,,,,,,50,,,,,,,,,,Y
291603,"POLYBAG STICKER,88 MM x 88 MM",SIZE 36 ST,#,#,1136,ALLCtr|ALLColor|36 ST,1,Pc,,,,,,,50,,,,,,,,,,Y
291604,"POLYBAG STICKER,88 MM x 88 MM",SIZE 38 ST,#,#,1138,ALLCtr|ALLColor|38 ST,1,Pc,,,,,,,50,,,,,,,,,,Y
291605,"POLYBAG STICKER,88 MM x 88 MM",SIZE 40 ST,#,#,1162,ALLCtr|ALLColor|40 ST,1,Pc,,,,,,,50,,,,,,,,,,Y
291606,"POLYBAG STICKER,88 MM x 88 MM",SIZE 42 ST,#,#,1163,ALLCtr|ALLColor|42 ST,1,Pc,,,,,,,50,,,,,,,,,,Y
290840,NACHI LAKBAN STOP IF SEAL BRKN,"2INCH,48MM X 90 YARD PUTIH",#,#,#,ALLCtr|ALLColor|ALLSize,0.54,Yd,,,,,,,50,,,,,,,,,,Y
79280,LAKBAN BENING,"2""",#,#,#,ALLCtr|ALLColor|ALLSize,0.05,Yd,,,,,,,50,,,,,,,,,,Y
291304,"CARTON STICKER,15 CM x 21 CM",0,#,#,#,ALLCtr|ALLColor|ALLSize,0.4,Pc,,,,,,,50,,,,,,,,,,Y
290842,"CARTON,ECT AND MULLEN 275#",40CM (L) x 36CM (W) x 40CM (T),#,#,#,ALLCtr|ALLColor|ALLSize,0.1,Pc,,,,,,,50,,,,,,,,,,Y
