"No","Buyer","PO.Buyer","Style","Qty","End-Sewing.Date","Ex-Fact.Date","Week11-6","Week27-13","Week314-20","Week421-27","Week528-30","Week631-31","Total","FOB","Week","Amount","SO No","WO No","Branch","Factory","Tarikan","Source","Cost.Type"
"267","RS MITRA KELUARGA","","RS MITRA KELUARGA","4210.00","2024-04-22","2024-04-30","0","0","0","0","4210.00","0","4210","5.67","W5","23870.7","23001222","182305","1205","CHW","","Schedule","FOB"
"268","RS MITRA KELUARGA","","RS MITRA KELUARGA","2150.00","2024-04-04","2024-04-30","0","0","0","0","2150.00","0","2150","1.44","W5","3096","23001227","182338","1205","CHW","","Schedule","FOB"
"269","RS MITRA KELUARGA","","RS MITRA KELUARGA","21.00","2024-05-27","2024-04-30","0","0","0","0","21.00","0","21","1.93","W5","40.53","24001031","182355","1205","CHW","","Schedule","FOB"
"270","RS MITRA KELUARGA","","RS MITRA KELUARGA","21.00","2024-05-02","2024-04-30","0","0","0","0","21.00","0","21","1.44","W5","30.24","24001032","182356","1205","CHW","","Schedule","FOB"
"271","AGRON, INC.","7","ADIDAS BRF, 5158582","8930.00","2024-04-26","2024-04-30","0","0","0","0","8930.00","0","8930","5.71","W5","12747.58","24001066","182190","1204","MJ1","","Schedule","FOB"
"272","AGRON, INC.","7","ADIDAS BRF, 5158582","8930.00","2024-04-30","2024-04-30","0","0","0","0","8930.00","0","8930","5.71","W5","12747.58","24001066","182190","1204","MJ1","","Schedule","FOB"
"273","AGRON, INC.","7","ADIDAS BRF, 5158592","2635.00","2024-04-26","2024-04-30","0","0","0","0","2635.00","0","2635","5.14","W5","4514.63","24001090","182172","1204","MJ1","","Schedule","FOB"
"274","AGRON, INC.","7","ADIDAS BRF, 5158592","2635.00","2024-04-30","2024-04-30","0","0","0","0","2635.00","0","2635","5.14","W5","4514.63","24001090","182172","1204","MJ1","","Schedule","FOB"
"275","AGRON, INC.","7","ADIDAS BRF, 5158583","3585.00","2024-04-25","2024-04-30","0","0","0","0","3585.00","0","3585","5.63","W5","6727.85","24001099","182181","1204","MJ1","","Schedule","FOB"
"276","AGRON, INC.","7","ADIDAS BRF, 5158583","3585.00","2024-04-24","2024-04-30","0","0","0","0","3585.00","0","3585","5.63","W5","6727.85","24001099","182181","1204","MJ1","","Schedule","FOB"
"277","AGRON, INC.","7","ADIDAS BRF, 5158583XXL","702.00","2024-04-29","2024-04-30","0","0","0","0","702.00","0","702","6.02","W5","1408.68","24001050","182184","1204","MJ1","","Schedule","FOB"
"278","AGRON, INC.","7","ADIDAS BRF, 5158583XXL","702.00","2024-04-24","2024-04-30","0","0","0","0","702.00","0","702","6.02","W5","1408.68","24001050","182184","1204","MJ1","","Schedule","FOB"
"279","AGRON, INC.","10","ADIDAS BRF, 5158039","1152.00","2024-04-18","2024-04-30","0","0","0","0","1152.00","0","1152","6.45","W5","1857.6","24001119","182216","1204","MJ2","","Schedule","FOB"
"280","AGRON, INC.","10","ADIDAS BRF, 5158038","3192.00","2024-04-18","2024-04-30","0","0","0","0","3192.00","0","3192","6.45","W5","5147.1","24001113","182218","1204","MJ2","","Schedule","FOB"
"281","AGRON, INC.","10","ADIDAS BRF, 5158038","3192.00","2024-04-18","2024-04-30","0","0","0","0","3192.00","0","3192","6.45","W5","5147.1","24001113","182218","1204","MJ2","","Schedule","FOB"
"282","AGRON, INC.","8","ADIDAS BRF, 5158611","3816.00","2024-04-22","2024-04-30","0","0","0","0","3816.00","0","3816","4.92","W5","6258.24","24001045","182202","1204","MJ2","","Schedule","FOB"
"283","AGRON, INC.","8","ADIDAS BRF, 5158615","1548.00","2024-04-22","2024-04-30","0","0","0","0","1548.00","0","1548","5.38","W5","2776.08","24001096","182201","1204","MJ2","","Schedule","FOB"
"284","AGRON, INC.","8","ADIDAS BRF, 5158615","1548.00","2024-04-18","2024-04-30","0","0","0","0","1548.00","0","1548","5.38","W5","2776.08","24001096","182201","1204","MJ2","","Schedule","FOB"
"285","AGRON, INC.","7","ADIDAS BRF, 5158583","3585.00","2024-04-23","2024-04-30","0","0","0","0","3585.00","0","3585","5.63","W5","6727.85","24001099","182181","1204","MJ1","","Schedule","FOB"
"286","AGRON, INC.","7","ADIDAS BRF, 5158583","3585.00","2024-04-24","2024-04-30","0","0","0","0","3585.00","0","3585","5.63","W5","6727.85","24001099","182181","1204","MJ1","","Schedule","FOB"
"287","AGRON, INC.","7","ADIDAS BRF, 5158583","3588.00","2024-04-25","2024-04-30","0","0","0","0","3588.00","0","3588","5.63","W5","6733.48","24001099","182181","1204","MJ1","","Schedule","FOB"
"288","AGRON, INC.","8","ADIDAS BRF, 5158602","3168.00","2024-04-23","2024-04-30","0","0","0","0","3168.00","0","3168","5.63","W5","5945.28","24001051","182203","1204","MJ2","","Schedule","FOB"
"289","AGRON, INC.","8","ADIDAS BRF, 5158602","3168.00","2024-04-24","2024-04-30","0","0","0","0","3168.00","0","3168","5.63","W5","5945.28","24001051","182203","1204","MJ2","","Schedule","FOB"
"290","AGRON, INC.","8","ADIDAS BRF, 5158602","3168.00","2024-04-26","2024-04-30","0","0","0","0","3168.00","0","3168","5.63","W5","5945.28","24001051","182203","1204","MJ2","","Schedule","FOB"
"291","AGRON, INC.","8","ADIDAS BRF, 5158602","3168.00","2024-04-25","2024-04-30","0","0","0","0","3168.00","0","3168","5.63","W5","5945.28","24001051","182203","1204","MJ2","","Schedule","FOB"
"292","HEXAPOLE COMPANY LIMITED","SC230055","MEC, 5060009","1002.00","2024-05-13","2024-05-02","1002.00","0","0","0","0","0","1002","6.1","W1","6112.2","23001612","182366","1201","MJ1","","Schedule","CMT"
"293","HEXAPOLE COMPANY LIMITED","SC230054","MEC, 5060535","2002.00","2024-05-27","2024-05-02","2002.00","0","0","0","0","0","2002","6.1","W1","12212.2","23001611","182365","1201","MJ1","","Schedule","CMT"
"294","HEXAPOLE COMPANY LIMITED","SC230049","MEC, 6018328","1037.00","2024-05-03","2024-05-02","1037.00","0","0","0","0","0","1037","5.25","W1","5444.25","23001606","182367","1201","MJ1","","Schedule","CMT"
"295","ASMARA KARYA ABADI, PT.","M-HPO023122","SKECHERS-S# KIRA (SK2152)","225.00","2024-04-23","2024-05-03","225.00","0","0","0","0","0","225","5.57","W1","1253.25","23001218","181895","1205","CVA","","Schedule","FOB"
"296","ASMARA KARYA ABADI, PT.","M-HPO023123","SKECHERS-S# KIRA (SK2152)","525.00","2024-04-22","2024-05-03","525.00","0","0","0","0","0","525","5.57","W1","2924.25","23001218","181896","1205","CVA","","Schedule","FOB"
"297","ASMARA KARYA ABADI, PT.","M-HPO023120","SKECHERS-S# MARINA (SK2151)","450.00","2024-04-30","2024-05-03","450.00","0","0","0","0","0","450","5.03","W1","2263.5","23001220","181901","1205","CVA","","Schedule","FOB"
"298","ASMARA KARYA ABADI, PT.","M-HPO023121","SKECHERS-S# MARINA (SK2151)","1050.00","2024-04-29","2024-05-03","1050.00","0","0","0","0","0","1050","5.03","W1","5281.5","23001220","181902","1205","CVA","","Schedule","FOB"
"299","RS MITRA KELUARGA","","RS MITRA KELUARGA","579.00","2024-04-23","2024-05-03","579.00","0","0","0","0","0","579","5.22","W1","3022.38","23001225","182313","1205","CNJ2","","Schedule","FOB"
"300","RS MITRA KELUARGA","","RS MITRA KELUARGA","303.00","2024-04-24","2024-05-03","303.00","0","0","0","0","0","303","5.22","W1","1581.66","23001231","182315","1205","CNJ2","","Schedule","FOB"
"301","RS MITRA KELUARGA","","RS MITRA KELUARGA","165.00","2024-05-22","2024-05-03","165.00","0","0","0","0","0","165","7.05","W1","1163.25","24001013","182351","1205","CNJ2","","Schedule","FOB"
"302","RS MITRA KELUARGA","","RS MITRA KELUARGA","210.00","2024-04-30","2024-05-03","210.00","0","0","0","0","0","210","5.15","W1","1081.5","24001037","182346","1205","CNJ2","","Schedule","FOB"
"303","RS MITRA KELUARGA","","RS MITRA KELUARGA","579.00","2024-04-25","2024-05-03","579.00","0","0","0","0","0","579","5.67","W1","3282.93","23001224","182312","1205","CNJ2","","Schedule","FOB"
"304","RS MITRA KELUARGA","","RS MITRA KELUARGA","303.00","2024-04-22","2024-05-03","303.00","0","0","0","0","0","303","5.67","W1","1718.01","23001230","182314","1205","CNJ2","","Schedule","FOB"
"305","RS MITRA KELUARGA","","RS MITRA KELUARGA","210.00","2024-04-30","2024-05-03","210.00","0","0","0","0","0","210","5.6","W1","1176","24001035","182345","1205","CNJ2","","Schedule","FOB"
"306","RS MITRA KELUARGA","","RS MITRA KELUARGA","165.00","2024-04-30","2024-05-03","165.00","0","0","0","0","0","165","6.41","W1","1057.65","24001014","182352","1205","CNJ2","","Schedule","FOB"
"307","DAVID KURNIAWAN WINARTO","","DEEN & JEAN, D&J 2","200.00","2024-05-10","2024-05-03","200.00","0","0","0","0","0","200","3.34","W1","668","24001093","182376","1201","SMPL","","Schedule","CMT"
"308","DAVID KURNIAWAN WINARTO","","DEEN & JEAN, D&J 3","300.00","2024-05-14","2024-05-03","300.00","0","0","0","0","0","300","3.02","W1","906","24001094","182377","1201","SMPL","","Schedule","CMT"
"309","DAVID KURNIAWAN WINARTO","","DEEN & JEAN, D&J 1","400.00","2024-05-07","2024-05-03","400.00","0","0","0","0","0","400","2.6","W1","1040","24001092","182375","1201","SMPL","","Schedule","CMT"
"310","DAVID KURNIAWAN WINARTO","","DEEN & JEAN, D&J 6","400.00","2024-05-18","2024-05-03","400.00","0","0","0","0","0","400","4.13","W1","1652","24001095","182378","1201","SMPL","","Schedule","CMT"
"311","DAVID KURNIAWAN WINARTO","","DEEN & JEAN, D&J 7","200.00","2024-05-21","2024-05-03","200.00","0","0","0","0","0","200","3.49","W1","698","24001096","182379","1201","SMPL","","Schedule","CMT"
"312","DAVID KURNIAWAN WINARTO","","DEEN & JEAN, D&J 8","400.00","2024-05-28","2024-05-03","400.00","0","0","0","0","0","400","3.49","W1","1396","24001097","182380","1201","SMPL","","Schedule","CMT"
"313","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, EC24AH54142N","4796.00","2024-03-16","2024-05-05","4796.00","0","0","0","0","0","4796","1.00","W1","4796","23001618","181861","1201","CVA","","Schedule","FOB"
"314","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, EC24AH54142N","4796.00","2024-03-27","2024-05-05","4796.00","0","0","0","0","0","4796","1.00","W1","4796","23001618","181861","1201","CVA","","Schedule","FOB"
"315","MARUBENI CORPORATION JEPANG","AUC28800","ASAHICHO, S# 8409","650.00","2024-04-18","2024-05-05","650.00","0","0","0","0","0","650","3.35","W1","2177.5","24001087","182372","1201","CNJ2","","Schedule","CMT"
"316","MARUBENI CORPORATION JEPANG","AUC28800","ASAHICHO, S# 8409","600.00","2024-04-25","2024-05-05","600.00","0","0","0","0","0","600","3.35","W1","2010","24001087","182371","1201","CNJ2","","Schedule","CMT"
"317","MARUBENI CORPORATION JEPANG","AUC28800","ASAHICHO, S# 8408","1530.00","2024-05-03","2024-05-05","1530.00","0","0","0","0","0","1530","2.78","W1","4253.4","24001086","182369","1201","CNJ2","","Schedule","CMT"
"318","MARUBENI CORPORATION JEPANG","AUC28800","ASAHICHO, S# 8408","500.00","2024-05-06","2024-05-05","500.00","0","0","0","0","0","500","2.78","W1","1390","24001086","182370","1201","CNJ2","","Schedule","CMT"
"319","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, EC24AH54142N","9500.00","2024-03-19","2024-05-05","9500.00","0","0","0","0","0","9500","1.00","W1","9500","23001618","181861","1201","CVA","","Schedule","FOB"
"320","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, EC24AH54142N","9500.00","2024-03-20","2024-05-05","9500.00","0","0","0","0","0","9500","1.00","W1","9500","23001618","181861","1201","CVA","","Schedule","FOB"
"321","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, EC24AH54142N","1008.00","2024-03-15","2024-05-05","1008.00","0","0","0","0","0","1008","1.00","W1","1008","23001618","181861","1201","CVA","","Schedule","FOB"
"322","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, EC24AH54142N","4200.00","2024-03-23","2024-05-05","4200.00","0","0","0","0","0","4200","1.00","W1","4200","23001618","181861","1201","CVA","","Schedule","FOB"
"323","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, EC24AH54142N","4200.00","2024-03-23","2024-05-05","4200.00","0","0","0","0","0","4200","1.00","W1","4200","23001618","181861","1201","CVA","","Schedule","FOB"
"324","KANMO RETAIL GROUP","","MOTHER CARE, HC877","1200.00","2024-02-09","2024-05-06","1200.00","0","0","0","0","0","1200","5.48","W1","2192","23001141","181701","1205","CVA2","","Schedule","FOB"
"325","KANMO RETAIL GROUP","","MOTHER CARE, HD118","600.00","2024-03-27","2024-05-06","600.00","0","0","0","0","0","600","11.61","W1","1741.5","23001151","181660","1205","CVA","","Schedule","FOB"
"326","KANMO RETAIL GROUP","","MOTHER CARE, HD121","684.00","2024-02-16","2024-05-06","684.00","0","0","0","0","0","684","9.35","W1","2131.8","23001152","181661","1205","CVA","","Schedule","FOB"
"327","KANMO RETAIL GROUP","","MOTHER CARE, HD114","200.00","2024-02-27","2024-05-06","200.00","0","0","0","0","0","200","5.81","W1","581","23001156","181662","1205","CVA","","Schedule","FOB"
"328","KANMO RETAIL GROUP","","MOTHER CARE, HC612","1350.00","2024-04-25","2024-05-06","1350.00","0","0","0","0","0","1350","7.42","W1","3339","23001168","181691","1205","CVA","","Schedule","FOB"
"329","KANMO RETAIL GROUP","","MOTHER CARE, HC639","1200.00","2024-06-26","2024-05-06","1200.00","0","0","0","0","0","1200","7.42","W1","2968","23001169","181692","1205","CVA","","Schedule","FOB"
"330","KANMO RETAIL GROUP","","MOTHER CARE, HC659","1200.00","2024-06-06","2024-05-06","1200.00","0","0","0","0","0","1200","7.10","W1","2840","23001170","181693","1205","CVA","","Schedule","FOB"
"331","KANMO RETAIL GROUP","","MOTHER CARE, HC912","1278.00","2024-05-08","2024-05-06","1278.00","0","0","0","0","0","1278","7.74","W1","3297.24","23001171","181694","1205","CVA","","Schedule","FOB"
"332","KANMO RETAIL GROUP","","MOTHER CARE, HD517","400.00","2024-04-26","2024-05-06","400.00","0","0","0","0","0","400","2.84","W1","1136","23001179","181667","1205","CVA","","Schedule","FOB"
"333","KANMO RETAIL GROUP","","MOTHER CARE, HD524","400.00","2024-04-27","2024-05-06","400.00","0","0","0","0","0","400","2.90","W1","1160","23001180","181668","1205","CVA","","Schedule","FOB"
"334","KANMO RETAIL GROUP","","MOTHER CARE, HD540","400.00","2024-05-08","2024-05-06","400.00","0","0","0","0","0","400","3.39","W1","1356","23001182","181670","1205","CVA","","Schedule","FOB"
"335","KANMO RETAIL GROUP","","MOTHER CARE, HD502","400.00","2024-05-11","2024-05-06","400.00","0","0","0","0","0","400","8.39","W1","3356","23001184","181672","1205","CVA","","Schedule","FOB"
"336","KANMO RETAIL GROUP","","MOTHER CARE, HD500","1500.00","2024-06-25","2024-05-06","1500.00","0","0","0","0","0","1500","7.74","W1","3870","23001187","181675","1205","CVA","","Schedule","FOB"
"337","KANMO RETAIL GROUP","","MOTHER CARE, HD508","450.00","2024-05-13","2024-05-06","450.00","0","0","0","0","0","450","2.84","W1","1278","23001188","181676","1205","CVA","","Schedule","FOB"
"338","KANMO RETAIL GROUP","","MOTHER CARE, HD503","500.00","2024-05-14","2024-05-06","500.00","0","0","0","0","0","500","2.90","W1","1450","23001189","181677","1205","CVA","","Schedule","FOB"
"339","KANMO RETAIL GROUP","","MOTHER CARE, HD544","1800.00","2024-05-18","2024-05-06","1800.00","0","0","0","0","0","1800","7.74","W1","4644","23001190","181678","1205","CVA","","Schedule","FOB"
"340","KANMO RETAIL GROUP","","MOTHER CARE, HD551","400.00","2024-05-22","2024-05-06","400.00","0","0","0","0","0","400","3.06","W1","1224","23001194","181682","1205","CVA","","Schedule","FOB"
"341","KANMO RETAIL GROUP","","MOTHER CARE, HD578","1428.00","2024-05-04","2024-05-06","1428.00","0","0","0","0","0","1428","8.26","W1","3931.76","23001196","181684","1205","CVA","","Schedule","FOB"
"342","KANMO RETAIL GROUP","","MOTHER CARE, HD591","1500.00","2024-06-06","2024-05-06","1500.00","0","0","0","0","0","1500","8.26","W1","4130","23001201","181689","1205","CVA","","Schedule","FOB"
"343","KANMO RETAIL GROUP","","MOTHER CARE, HD597","500.00","2024-06-07","2024-05-06","500.00","0","0","0","0","0","500","2.90","W1","1450","23001202","181690","1205","CVA","","Schedule","FOB"
"344","KANMO RETAIL GROUP","","MOTHER CARE, HD528","1200.00","2024-04-24","2024-05-06","1200.00","0","0","0","0","0","1200","8.06","W1","3224","23001178","181666","1205","CVA","","Schedule","FOB"
"345","KANMO RETAIL GROUP","","MOTHER CARE, HD542","1200.00","2024-06-11","2024-05-06","1200.00","0","0","0","0","0","1200","8.06","W1","3224","23001181","181669","1205","CVA","","Schedule","FOB"
"346","KANMO RETAIL GROUP","","MOTHER CARE, HD499","1500.00","2024-06-14","2024-05-06","1500.00","0","0","0","0","0","1500","8.06","W1","4030","23001185","181673","1205","CVA","","Schedule","FOB"
"347","KANMO RETAIL GROUP","","MOTHER CARE, HD549","1800.00","2024-06-20","2024-05-06","1800.00","0","0","0","0","0","1800","8.06","W1","4836","23001192","181680","1205","CVA","","Schedule","FOB"
"348","KANMO RETAIL GROUP","","MOTHER CARE, HD583","1428.00","2024-05-04","2024-05-06","1428.00","0","0","0","0","0","1428","9.35","W1","4450.6","23001197","181685","1205","CVA","","Schedule","FOB"
"349","KANMO RETAIL GROUP","","MOTHER CARE, HD618","1350.00","2024-05-27","2024-05-06","1350.00","0","0","0","0","0","1350","9.35","W1","4207.5","23001198","181686","1205","CVA","","Schedule","FOB"
"350","KANMO RETAIL GROUP","","MOTHER CARE, HD629","1200.00","2024-05-30","2024-05-06","1200.00","0","0","0","0","0","1200","9.52","W1","3808","23001199","181687","1205","CVA","","Schedule","FOB"
"351","KANMO RETAIL GROUP","","MOTHER CARE, HD605","1500.00","2024-06-04","2024-05-06","1500.00","0","0","0","0","0","1500","9.52","W1","4760","23001200","181688","1205","CVA","","Schedule","FOB"
"352","KANMO RETAIL GROUP","","MOTHER CARE, HD521","400.00","2024-04-22","2024-05-06","400.00","0","0","0","0","0","400","5.48","W1","1096","23001177","181665","1205","CVA","","Schedule","FOB"
"353","KANMO RETAIL GROUP","","MOTHER CARE, HD509","400.00","2024-05-10","2024-05-06","400.00","0","0","0","0","0","400","5.48","W1","1096","23001183","181671","1205","CVA","","Schedule","FOB"
"354","KANMO RETAIL GROUP","","MOTHER CARE, HD507","400.00","2024-06-14","2024-05-06","400.00","0","0","0","0","0","400","5.32","W1","1064","23001186","181674","1205","CVA","","Schedule","FOB"
"355","KANMO RETAIL GROUP","","MOTHER CARE, HD547","400.00","2024-05-20","2024-05-06","400.00","0","0","0","0","0","400","5.48","W1","1096","23001191","181679","1205","CVA","","Schedule","FOB"
"356","KANMO RETAIL GROUP","","MOTHER CARE, HD553","500.00","2024-05-21","2024-05-06","500.00","0","0","0","0","0","500","5.32","W1","1330","23001193","181681","1205","CVA","","Schedule","FOB"
"357","KANMO RETAIL GROUP","","MOTHER CARE, HD589","400.00","2024-04-30","2024-05-06","400.00","0","0","0","0","0","400","5.81","W1","1162","23001195","181683","1205","CVA","","Schedule","FOB"
"358","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, EC24AH24140N","12250.00","2024-04-01","2024-05-06","12250.00","0","0","0","0","0","12250","1.04","W1","12740","23001616","181821","1201","CVA","","Schedule","FOB"
"359","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, EC24AH24140N","12250.00","2024-04-01","2024-05-06","12250.00","0","0","0","0","0","12250","1.04","W1","12740","23001616","181821","1201","CVA","","Schedule","FOB"
"360","KANMO RETAIL GROUP","","MOTHER CARE, HD118","600.00","2024-02-21","2024-05-06","600.00","0","0","0","0","0","600","11.61","W1","1741.5","23001151","181660","1205","CVA","","Schedule","FOB"
"361","KANMO RETAIL GROUP","","MOTHER CARE, HD121","864.00","2024-02-15","2024-05-06","864.00","0","0","0","0","0","864","9.35","W1","2692.8","23001152","181661","1205","CVA","","Schedule","FOB"
"362","KANMO RETAIL GROUP","","MOTHER CARE, HD114","200.00","2024-02-13","2024-05-06","200.00","0","0","0","0","0","200","5.81","W1","581","23001156","181662","1205","CVA","","Schedule","FOB"
"363","KANMO RETAIL GROUP","","MOTHER CARE, HC877","1200.00","2024-02-09","2024-05-06","1200.00","0","0","0","0","0","1200","5.48","W1","2192","23001141","181701","1205","CVA2","","Schedule","FOB"
"364","KANMO RETAIL GROUP","","MOTHER CARE, HC855","400.00","2024-04-03","2024-05-06","400.00","0","0","0","0","0","400","3.06","W1","1224","23001142","181702","1205","CVA","","Schedule","FOB"
"365","KANMO RETAIL GROUP","","MOTHER CARE, HD118","200.00","2024-02-09","2024-05-06","200.00","0","0","0","0","0","200","11.61","W1","580.5","23001151","181660","1205","CVA","","Schedule","FOB"
"366","KANMO RETAIL GROUP","","MOTHER CARE, HD118","200.00","2024-02-06","2024-05-06","200.00","0","0","0","0","0","200","11.61","W1","580.5","23001151","181660","1205","CVA","","Schedule","FOB"
"367","KANMO RETAIL GROUP","","MOTHER CARE, HD121","410.00","2024-02-13","2024-05-06","410.00","0","0","0","0","0","410","9.35","W1","1277.83","23001152","181661","1205","CVA","","Schedule","FOB"
"368","KANMO RETAIL GROUP","","MOTHER CARE, HD121","442.00","2024-02-09","2024-05-06","442.00","0","0","0","0","0","442","9.35","W1","1377.57","23001152","181661","1205","CVA","","Schedule","FOB"
"369","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, EC24AH24140N","6250.00","2024-02-27","2024-05-06","6250.00","0","0","0","0","0","6250","1.04","W1","6500","23001616","181821","1201","CVA","","Schedule","FOB"
"370","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, EC24AH24140N","6250.00","2024-02-27","2024-05-06","6250.00","0","0","0","0","0","6250","1.04","W1","6500","23001616","181821","1201","CVA","","Schedule","FOB"
"371","H&M","891895-7987","HNM BOXER, DK","1365.00","2024-05-11","2024-05-06","1365.00","0","0","0","0","0","1365","7.16","W1","1954.68","24001227","182606","1204","CNJ2","","Schedule","FOB"
"372","H&M","891895-7987","HNM BOXER, CH","4780.00","2024-05-24","2024-05-06","4780.00","0","0","0","0","0","4780","7.16","W1","6844.96","24001228","182607","1204","CNJ2","","Schedule","FOB"
"373","H&M","891895-7987","HNM BOXER, CO","1190.00","2024-05-27","2024-05-06","1190.00","0","0","0","0","0","1190","7.16","W1","1704.08","24001229","182608","1204","CNJ2","","Schedule","FOB"
"374","H&M","891895-7987","HNM BOXER, EC","160.00","2024-05-27","2024-05-06","160.00","0","0","0","0","0","160","7.16","W1","229.12","24001230","182609","1204","CNJ2","","Schedule","FOB"
"375","H&M","891895-7987","HNM BOXER, PA","165.00","2024-06-03","2024-05-06","165.00","0","0","0","0","0","165","7.16","W1","236.28","24001231","182610","1204","CNJ2","","Schedule","FOB"
"376","KANMO RETAIL GROUP","","MOTHER CARE, HC612","1350.00","2024-04-24","2024-05-06","1350.00","0","0","0","0","0","1350","7.42","W1","3339","23001168","181691","1205","CVA","","Schedule","FOB"
"377","KANMO RETAIL GROUP","","MOTHER CARE, HD542","1200.00","2024-06-14","2024-05-06","1200.00","0","0","0","0","0","1200","8.06","W1","3224","23001181","181669","1205","CVA","","Schedule","FOB"
"378","KANMO RETAIL GROUP","","MOTHER CARE, HD499","1500.00","2024-06-20","2024-05-06","1500.00","0","0","0","0","0","1500","8.06","W1","4030","23001185","181673","1205","CVA","","Schedule","FOB"
"379","KANMO RETAIL GROUP","","MOTHER CARE, HD507","400.00","2024-06-20","2024-05-06","400.00","0","0","0","0","0","400","5.32","W1","1064","23001186","181674","1205","CVA","","Schedule","FOB"
"380","KANMO RETAIL GROUP","","MOTHER CARE, HD500","1500.00","2024-06-28","2024-05-06","1500.00","0","0","0","0","0","1500","7.74","W1","3870","23001187","181675","1205","CVA","","Schedule","FOB"
"381","KANMO RETAIL GROUP","","MOTHER CARE, HD549","1800.00","2024-06-25","2024-05-06","1800.00","0","0","0","0","0","1800","8.06","W1","4836","23001192","181680","1205","CVA","","Schedule","FOB"
"382","KANMO RETAIL GROUP","","MOTHER CARE, HC639","1200.00","2024-07-01","2024-05-06","1200.00","0","0","0","0","0","1200","7.42","W1","2968","23001169","181692","1205","CVA","","Schedule","FOB"
"383","KANMO RETAIL GROUP","","MOTHER CARE, HD521","400.00","2024-04-22","2024-05-06","400.00","0","0","0","0","0","400","5.48","W1","1096","23001177","181665","1205","CVA","","Schedule","FOB"
"384","KANMO RETAIL GROUP","","MOTHER CARE, HD528","1200.00","2024-04-26","2024-05-06","1200.00","0","0","0","0","0","1200","8.06","W1","3224","23001178","181666","1205","CVA","","Schedule","FOB"
"385","KANMO RETAIL GROUP","","MOTHER CARE, HD517","400.00","2024-04-27","2024-05-06","400.00","0","0","0","0","0","400","2.84","W1","1136","23001179","181667","1205","CVA","","Schedule","FOB"
"386","KANMO RETAIL GROUP","","MOTHER CARE, HD524","400.00","2024-04-30","2024-05-06","400.00","0","0","0","0","0","400","2.90","W1","1160","23001180","181668","1205","CVA","","Schedule","FOB"
"387","KANMO RETAIL GROUP","","MOTHER CARE, HD589","400.00","2024-05-02","2024-05-06","400.00","0","0","0","0","0","400","5.81","W1","1162","23001195","181683","1205","CVA","","Schedule","FOB"
"388","KANMO RETAIL GROUP","","MOTHER CARE, HD578","1428.00","2024-05-06","2024-05-06","1428.00","0","0","0","0","0","1428","8.26","W1","3931.76","23001196","181684","1205","CVA","","Schedule","FOB"
"389","KANMO RETAIL GROUP","","MOTHER CARE, HD583","1431.00","2024-05-07","2024-05-06","1431.00","0","0","0","0","0","1431","9.35","W1","4459.95","23001197","181685","1205","CVA","","Schedule","FOB"
"390","KANMO RETAIL GROUP","","MOTHER CARE, HC912","1278.00","2024-05-10","2024-05-06","1278.00","0","0","0","0","0","1278","7.74","W1","3297.24","23001171","181694","1205","CVA","","Schedule","FOB"
"391","KANMO RETAIL GROUP","","MOTHER CARE, HD540","400.00","2024-05-13","2024-05-06","400.00","0","0","0","0","0","400","3.39","W1","1356","23001182","181670","1205","CVA","","Schedule","FOB"
"392","KANMO RETAIL GROUP","","MOTHER CARE, HD509","400.00","2024-05-13","2024-05-06","400.00","0","0","0","0","0","400","5.48","W1","1096","23001183","181671","1205","CVA","","Schedule","FOB"
"393","KANMO RETAIL GROUP","","MOTHER CARE, HD502","400.00","2024-05-14","2024-05-06","400.00","0","0","0","0","0","400","8.39","W1","3356","23001184","181672","1205","CVA","","Schedule","FOB"
"394","KANMO RETAIL GROUP","","MOTHER CARE, HD508","450.00","2024-05-15","2024-05-06","450.00","0","0","0","0","0","450","2.84","W1","1278","23001188","181676","1205","CVA","","Schedule","FOB"
"395","KANMO RETAIL GROUP","","MOTHER CARE, HD503","500.00","2024-05-16","2024-05-06","500.00","0","0","0","0","0","500","2.90","W1","1450","23001189","181677","1205","CVA","","Schedule","FOB"
"396","KANMO RETAIL GROUP","","MOTHER CARE, HD544","1800.00","2024-05-21","2024-05-06","1800.00","0","0","0","0","0","1800","7.74","W1","4644","23001190","181678","1205","CVA","","Schedule","FOB"
"397","KANMO RETAIL GROUP","","MOTHER CARE, HD547","400.00","2024-05-22","2024-05-06","400.00","0","0","0","0","0","400","5.48","W1","1096","23001191","181679","1205","CVA","","Schedule","FOB"
"398","KANMO RETAIL GROUP","","MOTHER CARE, HD553","500.00","2024-05-24","2024-05-06","500.00","0","0","0","0","0","500","5.32","W1","1330","23001193","181681","1205","CVA","","Schedule","FOB"
